metric_task,dataset,model,provider,method,schema_task,schema_source_model,timestamp,samples,LA,EM,Recall,Avg_Pred_Cols,Avg_Gold_Cols,Avg_Ratio,EX,correct,Avg_token,Avg_time,Avg_token_database_retrieval,Avg_time_database_retrieval,Avg_token_schema_linking,Avg_time_schema_linking,missing_gold_count,missing_db_retrieval_count,skipped_count,execution_error_count,wrong_result_count,log_file,database_retrieval_log_file,error
execution_accuracy,Spider2,mistralai/Ministral-3-14B-Instruct-2512,transformers,,,mistralai/Ministral-3-14B-Instruct-2512,20260619_185839,120,,,,,,,0.016666666666666666,2,,,,,,,0,,0,110,8,Logs/sql_results/Spider2/mistralai__Ministral-3-14B-Instruct-2512/table2column/sql_generation_Spider2_20260619_185839.json,,
execution_accuracy,Spider2,mistralai/Ministral-3-14B-Instruct-2512,transformers,,,mistralai/Ministral-3-14B-Instruct-2512,20260619_193657,120,,,,,,,0.008333333333333333,1,,,,,,,0,,0,112,7,Logs/sql_results/Spider2/mistralai__Ministral-3-14B-Instruct-2512/table2column/sql_generation_Spider2_20260619_193657.json,,
execution_accuracy,Spider2,mistralai/Ministral-3-14B-Instruct-2512,transformers,,,mistralai/Ministral-3-14B-Instruct-2512,20260619_211244,120,,,,,,,0.008333333333333333,1,,,,,,,0,,0,109,10,Logs/sql_results/Spider2/mistralai__Ministral-3-14B-Instruct-2512/table2column/sql_generation_Spider2_20260619_211244.json,,
execution_accuracy,Spider2,mistralai/Ministral-3-14B-Instruct-2512,transformers,,,mistralai/Ministral-3-14B-Instruct-2512,20260619_225905,120,,,,,,,0.008333333333333333,1,,,,,,,0,,0,104,15,Logs/sql_results/Spider2/mistralai__Ministral-3-14B-Instruct-2512/table2column/sql_generation_Spider2_20260619_225905.json,,
