llm,shot_method,schema_linking_method,table_group,samples,table_precision,table_recall,table_f1,column_precision,column_recall,column_f1
llama3.2:1b,zero_shot,table2column,three_table,721,85.28,66.23,74.56,49.35,33.74,40.08
llama3.2:1b,few_shot,baseline_schema_linking,overall,3313,44.3,43.61,43.95,21.49,25.34,23.26
llama3.2:1b,few_shot,baseline_schema_linking,two_table,2592,43.98,48.07,45.94,20.91,27.35,23.7
llama3.2:1b,few_shot,baseline_schema_linking,three_table,721,45.4,33.27,38.4,23.48,20.68,22.0
llama3.2:1b,few_shot,table2column,overall,3313,62.28,62.74,62.51,26.56,32.84,29.37
llama3.2:1b,few_shot,table2column,two_table,2592,60.41,67.01,63.54,25.31,34.71,29.27
llama3.2:1b,few_shot,table2column,three_table,721,68.54,52.84,59.67,30.86,28.52,29.64
llama3.2:3b,zero_shot,baseline_schema_linking,overall,3313,41.04,40.86,40.95,23.71,25.24,24.45
llama3.2:3b,zero_shot,baseline_schema_linking,two_table,2592,41.48,44.71,43.04,23.27,26.6,24.83
llama3.2:3b,zero_shot,baseline_schema_linking,three_table,721,39.68,31.93,35.39,25.02,22.1,23.47
llama3.2:3b,zero_shot,table2column,overall,3313,81.36,89.56,85.26,42.48,43.04,42.76
llama3.2:3b,zero_shot,table2column,two_table,2592,78.57,93.31,85.31,42.2,46.02,44.03
llama3.2:3b,zero_shot,table2column,three_table,721,89.88,80.88,85.14,43.34,36.15,39.42
llama3.2:3b,few_shot,baseline_schema_linking,overall,3313,82.75,84.05,83.39,48.11,61.57,54.01
llama3.2:3b,few_shot,baseline_schema_linking,two_table,2592,81.07,89.04,84.87,45.86,63.4,53.22
llama3.2:3b,few_shot,baseline_schema_linking,three_table,721,87.92,72.49,79.46,55.01,57.36,56.16
llama3.2:3b,few_shot,table2column,overall,3313,84.29,87.38,85.81,50.36,62.42,55.75
llama3.2:3b,few_shot,table2column,two_table,2592,82.16,91.42,86.54,48.52,64.72,55.46
llama3.2:3b,few_shot,table2column,three_table,721,90.66,78.03,83.87,55.93,57.11,56.51
gpt-3.5-turbo,zero_shot,baseline_schema_linking,overall,3313,85.56,94.42,89.77,79.87,66.2,72.4
gpt-3.5-turbo,zero_shot,baseline_schema_linking,two_table,2592,83.46,96.37,89.45,77.24,68.56,72.64
gpt-3.5-turbo,zero_shot,baseline_schema_linking,three_table,721,91.25,89.91,90.57,87.65,60.76,71.77
gpt-3.5-turbo,zero_shot,table2column,overall,3313,90.76,94.96,92.81,84.8,68.1,75.54
gpt-3.5-turbo,zero_shot,table2column,two_table,2592,89.17,96.28,92.59,83.1,70.67,76.38
gpt-3.5-turbo,zero_shot,table2column,three_table,721,94.84,91.92,93.35,89.64,62.15,73.41
gpt-3.5-turbo,few_shot,baseline_schema_linking,overall,3313,82.79,96.66,89.19,76.45,87.08,81.42
gpt-3.5-turbo,few_shot,baseline_schema_linking,two_table,2592,80.4,98.19,88.41,73.69,87.67,80.08
gpt-3.5-turbo,few_shot,baseline_schema_linking,three_table,721,89.29,93.12,91.17,83.86,85.71,84.78
gpt-3.5-turbo,few_shot,table2column,overall,3313,89.1,95.12,92.01,82.26,85.66,83.93
